step	accuracy
0	0.5263749957084656
1	0.5833749771118164
2	0.6162499785423279
3	0.6305000185966492
4	0.6478750109672546
5	0.656374990940094
6	0.6587499976158142
7	0.6682500243186951
8	0.6798750162124634
9	0.6792500019073486
