step	loss
0	0.7723260521888733
1	0.6784698367118835
2	0.6574842929840088
3	0.6430066823959351
4	0.6258226037025452
5	0.6132808923721313
6	0.6069517135620117
7	0.6055924296379089
8	0.591666042804718
9	0.5930396914482117
